epoch,train_mse,epoch_s
1,18.921095,0.996
2,4.395001,0.096
3,2.621873,0.101
4,2.117028,0.100
5,1.796417,0.097
6,1.531756,0.100
7,1.347975,0.100
8,1.221082,0.099
9,1.132141,0.106
10,1.063548,0.103
11,1.004009,0.101
12,0.942825,0.101
13,0.882405,0.105
14,0.812204,0.099
15,0.751112,0.107
16,0.716434,0.111
17,0.668271,0.105
18,0.610228,0.098
19,0.577487,0.099
20,0.539317,0.095
21,0.501851,0.101
22,0.480000,0.093
23,0.440755,0.099
24,0.431593,0.098
25,0.414064,0.098
26,0.381804,0.101
27,0.364484,0.101
28,0.354989,0.098
29,0.342173,0.104
30,0.330060,0.098
