epoch,train_mse,epoch_s
1,197.085996,0.968
2,12.798118,0.124
3,2.307115,0.105
4,1.464244,0.126
5,1.215303,0.157
6,1.064561,0.149
7,0.945524,0.165
8,0.877882,0.142
9,0.799484,0.123
10,0.709382,0.117
11,0.628383,0.145
12,0.556252,0.184
13,0.477536,0.157
14,0.411128,0.151
15,0.374663,0.152
16,0.336763,0.146
17,0.303459,0.132
18,0.270671,0.134
19,0.247534,0.190
20,0.227495,0.176
21,0.211035,0.142
22,0.195231,0.143
23,0.181255,0.163
24,0.169090,0.153
25,0.158035,0.123
26,0.149829,0.119
27,0.143017,0.115
28,0.136370,0.118
29,0.130677,0.119
30,0.125115,0.135
