epoch,train_mse,epoch_s
1,8.361902,0.969
2,3.891633,0.106
3,3.069574,0.100
4,2.432195,0.105
5,1.787009,0.095
6,1.182534,0.101
7,0.753921,0.097
8,0.540578,0.094
9,0.421131,0.096
10,0.340424,0.099
11,0.282706,0.096
12,0.241616,0.099
13,0.211954,0.096
14,0.190223,0.099
15,0.173958,0.096
16,0.160898,0.094
17,0.150035,0.095
18,0.141089,0.102
19,0.133181,0.101
20,0.125998,0.096
21,0.119749,0.095
22,0.114238,0.099
23,0.109542,0.096
24,0.105156,0.098
25,0.100657,0.104
26,0.096613,0.094
27,0.092936,0.109
28,0.089436,0.112
29,0.086159,0.114
30,0.083202,0.115
