epoch,train_mse,epoch_s
1,8.566435,1.129
2,1.324880,0.115
3,0.690040,0.114
4,0.467594,0.118
5,0.354673,0.116
6,0.293701,0.113
7,0.252437,0.112
8,0.221876,0.113
9,0.199319,0.112
10,0.185866,0.114
11,0.176417,0.115
12,0.169379,0.112
13,0.163859,0.114
14,0.159829,0.111
15,0.156520,0.110
16,0.153157,0.113
17,0.150376,0.116
18,0.147846,0.113
19,0.145845,0.111
20,0.144179,0.112
21,0.142073,0.115
22,0.139965,0.113
23,0.138437,0.112
24,0.137599,0.114
25,0.136849,0.133
26,0.135856,0.151
27,0.135471,0.150
28,0.134883,0.128
29,0.134088,0.120
30,0.134476,0.126
