epoch,train_mse,epoch_s
1,11.237967,1.033
2,4.541403,0.104
3,3.343569,0.103
4,2.645045,0.107
5,2.275048,0.102
6,1.980396,0.106
7,1.751374,0.100
8,1.562964,0.104
9,1.427760,0.105
10,1.344997,0.100
11,1.300003,0.106
12,1.276022,0.100
13,1.261879,0.101
14,1.251071,0.104
15,1.243834,0.105
16,1.234242,0.103
17,1.227070,0.106
18,1.218424,0.116
19,1.211987,0.117
20,1.202845,0.110
21,1.196268,0.110
22,1.187449,0.106
23,1.179590,0.108
24,1.170985,0.104
25,1.164565,0.103
26,1.156097,0.100
27,1.147173,0.110
28,1.139828,0.105
29,1.132376,0.103
30,1.123778,0.107
