epoch,train_mse,epoch_s
1,18.921095,1.722
2,4.395001,0.151
3,2.621873,0.141
4,2.117028,0.134
5,1.796417,0.132
6,1.531756,0.135
7,1.347975,0.136
8,1.221082,0.134
9,1.132141,0.148
10,1.063548,0.134
11,1.004009,0.136
12,0.942825,0.148
13,0.882405,0.172
14,0.812204,0.154
15,0.751112,0.187
16,0.716434,0.184
17,0.668271,0.131
18,0.610228,0.133
19,0.577487,0.143
20,0.539317,0.140
21,0.501851,0.221
22,0.480000,0.152
23,0.440755,0.121
24,0.431593,0.120
25,0.414064,0.108
26,0.381804,0.133
27,0.364484,0.139
28,0.354989,0.164
29,0.342173,0.164
30,0.330060,0.119
