epoch,train_mse,epoch_s
1,197.085996,1.402
2,12.798118,0.117
3,2.307115,0.110
4,1.464244,0.122
5,1.215303,0.113
6,1.064561,0.107
7,0.945524,0.133
8,0.877882,0.146
9,0.799484,0.151
10,0.709382,0.142
11,0.628383,0.147
12,0.556252,0.110
13,0.477536,0.116
14,0.411128,0.108
15,0.374663,0.120
16,0.336763,0.111
17,0.303459,0.111
18,0.270671,0.116
19,0.247534,0.109
20,0.227495,0.123
21,0.211035,0.136
22,0.195231,0.141
23,0.181255,0.130
24,0.169090,0.111
25,0.158035,0.128
26,0.149829,0.233
27,0.143017,0.140
28,0.136370,0.116
29,0.130677,0.108
30,0.125115,0.120
