epoch,train_mse,epoch_s
1,10.430136,1.478
2,2.710038,0.129
3,1.436775,0.132
4,0.884343,0.132
5,0.703339,0.129
6,0.618548,0.130
7,0.555968,0.132
8,0.505337,0.126
9,0.459535,0.133
10,0.417956,0.131
11,0.379300,0.129
12,0.344556,0.130
13,0.313664,0.129
14,0.285909,0.132
15,0.260763,0.127
16,0.239109,0.133
17,0.220608,0.134
18,0.205739,0.143
19,0.193041,0.131
20,0.182921,0.130
21,0.175263,0.126
22,0.169545,0.124
23,0.165605,0.149
24,0.162502,0.130
25,0.159888,0.130
26,0.157646,0.129
27,0.155804,0.130
28,0.154055,0.130
29,0.152302,0.127
30,0.150836,0.133
