epoch,train_mse,epoch_s
1,8.566435,1.000
2,1.324880,0.114
3,0.690040,0.120
4,0.467594,0.111
5,0.354673,0.175
6,0.293701,0.152
7,0.252437,0.129
8,0.221876,0.116
9,0.199319,0.152
10,0.185866,0.131
11,0.176417,0.197
12,0.169379,0.178
13,0.163859,0.141
14,0.159829,0.110
15,0.156520,0.111
16,0.153157,0.117
17,0.150376,0.182
18,0.147846,0.187
19,0.145845,0.123
20,0.144179,0.139
21,0.142073,0.137
22,0.139965,0.132
23,0.138437,0.134
24,0.137599,0.125
25,0.136849,0.113
26,0.135856,0.190
27,0.135471,0.169
28,0.134883,0.191
29,0.134088,0.214
30,0.134476,0.124
