epoch,train_mse,epoch_s
1,13.564232,1.370
2,6.468974,0.090
3,2.815220,0.080
4,2.111139,0.081
5,1.421405,0.079
6,1.075764,0.078
7,0.853461,0.079
8,0.741441,0.089
9,0.679465,0.093
10,0.634027,0.097
11,0.593014,0.095
12,0.559059,0.092
13,0.529196,0.086
14,0.501013,0.081
15,0.474543,0.080
16,0.449575,0.088
17,0.426261,0.080
18,0.403376,0.082
19,0.381425,0.084
20,0.360254,0.079
21,0.340301,0.080
22,0.321563,0.082
23,0.303982,0.081
24,0.287280,0.099
25,0.271462,0.087
26,0.256812,0.099
27,0.243029,0.099
28,0.230670,0.100
29,0.219410,0.095
30,0.209355,0.091
