epoch,train_mse,epoch_s
1,13.564232,1.921
2,6.468974,0.338
3,2.815220,0.500
4,2.111139,0.522
5,1.421405,0.457
6,1.075764,0.530
7,0.853461,0.408
8,0.741441,0.493
9,0.679465,0.418
10,0.634027,0.403
11,0.593014,0.388
12,0.559059,0.391
13,0.529196,0.410
14,0.501013,0.394
15,0.474543,0.399
16,0.449575,0.393
17,0.426261,0.421
18,0.403376,0.408
19,0.381425,0.428
20,0.360254,0.419
21,0.340301,0.396
22,0.321563,0.397
23,0.303982,0.397
24,0.287280,0.406
25,0.271462,0.398
26,0.256812,0.399
27,0.243029,0.455
28,0.230670,0.385
29,0.219410,0.393
30,0.209355,0.389
